DEPTH,DT,DTS,GR,RHO,VP,VS,VPVS,IP_ORIGINAL,IS,VSH,RHOm,RHOf,PHIE,SWE,LFC,K0,RHO_FLUID,K_FLUID,IP,VP_FRMB,VS_FRMB,RHO_FRMB,LFC_B,VP_FRMO,VS_FRMO,RHO_FRMO,LFC_O,VP_FRMG,VS_FRMG,RHO_FRMG,LFC_G,IP_FRMB,IP_FRMO,IP_FRMG,VPVS_FRMB,VPVS_FRMO,VPVS_FRMG,QC_RATIO
2103.1201,123.629,310.436,111.037,2.27,2465.44095641,981.844889124,2.5110289656950413,5596.55097105,2228.78789831,0.817980617225,2.78087689876,1.09,0.302137251465,1.0,4,15.000018899523383,1.09,2.8,5596.5509710507,2465.44095641,981.844889124,2.27,4,2465.44095641,981.844889124,2.27,4,2465.44095641,981.844889124,2.27,4,5596.5509710507,5596.5509710507,5596.5509710507,2.5110289656950413,2.5110289656950413,2.5110289656950413,1.0
2103.2725,123.611,312.091,108.04,2.268,2465.79996926,976.638224108,2.524783393064619,5592.43433028,2215.01549228,0.77678190941,2.77428510551,1.09,0.300593470696,1.0,4,15.000019901909123,1.09,2.8,5592.43433028168,2465.79996926,976.638224108,2.268,4,2465.79996926,976.638224108,2.268,4,2465.79996926,976.638224108,2.268,4,5592.43433028168,5592.43433028168,5592.43433028168,2.524783393064619,2.524783393064619,2.524783393064619,1.0
2103.4248,124.047,314.118,105.737,2.262,2457.13318339,970.335988387,2.5322498730305973,5558.03526083,2194.90000573,0.745123376177,2.76921974019,1.09,0.302056799387,1.0,4,15.00002074749332,1.09,2.8,5558.03526082818,2457.13318339,970.335988387,2.262,4,2457.13318339,970.335988387,2.262,4,2457.13318339,970.335988387,2.262,4,5558.03526082818,5558.03526082818,5558.03526082818,2.5322498730305973,2.5322498730305973,2.5322498730305973,1.0
2103.5771,124.913,319.164,108.257,2.255,2440.09830842,954.99492424,2.5550903428747214,5502.42168549,2153.51355416,0.779764932298,2.77476238917,1.09,0.308507830249,1.0,4,15.000019825773633,1.09,2.8,5502.4216854871,2440.09830842,954.99492424,2.255,4,2440.09830842,954.99492424,2.255,4,2440.09830842,954.99492424,2.255,4,5502.4216854871,5502.4216854871,5502.4216854871,2.5550903428747214,2.5550903428747214,2.5550903428747214,1.0
2103.7297,126.255,325.833,116.223,2.237,2414.16181537,935.448527313,2.5807532374918414,5400.47998099,2092.5983556,0.889270740257,2.79228331844,1.09,0.32619911881,1.0,4,15.000017384407647,1.09,2.8,5400.479980982691,2414.16181537,935.448527313,2.237,4,2414.16181537,935.448527313,2.237,4,2414.16181537,935.448527313,2.237,4,5400.479980982691,5400.479980982691,5400.479980982691,2.5807532374918414,2.5807532374918414,2.5807532374918414,1.0
2103.8821,127.582,331.136,124.278,2.197,2389.05174711,920.467723232,2.595475850822256,5248.7466884,2022.26758794,1.0,2.81,1.09,0.356395348837,1.0,4,15.00001545944665,1.09,2.8,5248.746688400671,2389.05174711,920.467723232,2.197,4,2389.05174711,920.467723232,2.197,4,2389.05174711,920.467723232,2.197,4,5248.746688400671,5248.746688400671,5248.746688400671,2.595475850822256,2.595475850822256,2.595475850822256,1.0
2104.0344,128.907,331.252,123.415,2.174,2364.49533385,920.145387801,2.5696975338872967,5140.41285578,2000.39607308,0.988136641694,2.80810186267,1.09,0.369071168857,1.0,4,15.000015645049324,1.09,2.8,5140.412855789899,2364.49533385,920.145387801,2.174,4,2364.49533385,920.145387801,2.174,4,2364.49533385,920.145387801,2.174,4,5140.412855789899,5140.412855789899,5140.412855789899,2.5696975338872967,2.5696975338872967,2.5696975338872967,1.0
2104.1868,130.619,332.384,112.319,2.202,2333.50431407,917.011649177,2.544683392151315,5138.37649959,2019.25965149,0.835603821568,2.78369661145,1.09,0.343447939565,1.0,4,15.000018500925599,1.09,2.8,5138.37649958214,2333.50431407,917.011649177,2.202,4,2333.50431407,917.011649177,2.202,4,2333.50431407,917.011649177,2.202,4,5138.37649958214,5138.37649958214,5138.37649958214,2.544683392151315,2.544683392151315,2.544683392151315,1.0
2104.3391,132.133,338.596,99.757,2.247,2306.76666692,900.187834469,2.5625392596876275,5183.30470057,2022.72206405,0.662918413637,2.75606694618,1.09,0.305550114507,1.0,4,15.707554379220225,1.09,2.8,5183.30470056924,2306.76666692,900.187834469,2.247,4,2306.76666692,900.187834469,2.247,4,2306.76666692,900.187834469,2.247,4,5183.30470056924,5183.30470056924,5183.30470056924,2.5625392596876275,2.5625392596876275,2.5625392596876275,1.0
2104.4917,133.268,349.568,93.512,2.267,2287.12068914,871.933357744,2.62304529219709,5184.90260228,1976.67292201,0.577070589044,2.74233129425,1.09,0.287673117311,1.0,4,18.043202331279243,1.09,2.8,5184.90260228038,2287.12068914,871.933357744,2.267,4,2287.12068914,871.933357744,2.267,4,2287.12068914,871.933357744,2.267,4,5184.90260228038,5184.90260228038,5184.90260228038,2.62304529219709,2.62304529219709,2.62304529219709,1.0
2104.644,134.134,355.153,90.931,2.269,2272.35451116,858.221667845,2.647747774611537,5155.97238582,1947.30496434,0.541590487319,2.73665447797,1.09,0.284002797325,1.0,4,18.949678210503333,1.09,2.8,5155.97238582204,2272.35451116,858.221667845,2.269,4,2272.35451116,858.221667845,2.269,4,2272.35451116,858.221667845,2.269,4,5155.97238582204,5155.97238582204,5155.97238582204,2.647747774611537,2.647747774611537,2.647747774611537,1.0
2104.7964,133.798,354.577,91.473,2.265,2278.06095756,859.615823925,2.6500919296231533,5159.80806888,1947.02984119,0.549041171215,2.73784658739,1.09,0.28694818499,1.0,4,18.718373165203875,1.09,2.8,5159.808068873401,2278.06095756,859.615823925,2.265,4,2278.06095756,859.615823925,2.265,4,2278.06095756,859.615823925,2.265,4,5159.808068873401,5159.808068873401,5159.808068873401,2.6500919296231533,2.6500919296231533,2.6500919296231533,1.0
2104.9487,131.726,350.39,97.427,2.256,2313.89399207,869.887839265,2.659991193836085,5220.14484612,1962.46696538,0.630888720874,2.75094219534,1.09,0.297988814258,1.0,4,16.595196405828,1.09,2.8,5220.14484610992,2313.89399207,869.887839265,2.256,4,2313.89399207,869.887839265,2.256,4,2313.89399207,869.887839265,2.256,4,5220.14484610992,5220.14484610992,5220.14484610992,2.659991193836085,2.659991193836085,2.659991193836085,1.0
2105.1013,128.42,345.888,104.316,2.252,2373.46207756,881.210102692,2.6934122410868127,5345.03659866,1984.48515126,0.725589387587,2.76609430201,1.09,0.306721585651,1.0,4,15.000021306047294,1.09,2.8,5345.0365986651195,2373.46207756,881.210102692,2.252,4,2373.46207756,881.210102692,2.252,4,2373.46207756,881.210102692,2.252,4,5345.0365986651195,5345.0365986651195,5345.0365986651195,2.6934122410868127,2.6934122410868127,2.6934122410868127,1.0
2105.2537,125.729,340.161,105.421,2.257,2424.26170573,896.046283966,2.705509468774257,5471.55866984,2022.37646291,0.740779435013,2.7685247096,1.09,0.304746606753,1.0,4,15.000020869156781,1.09,2.8,5471.55866983261,2424.26170573,896.046283966,2.257,4,2424.26170573,896.046283966,2.257,4,2424.26170573,896.046283966,2.257,4,5471.55866983261,5471.55866983261,5471.55866983261,2.705509468774257,2.705509468774257,2.705509468774257,1.0
2105.406,124.495,334.373,102.628,2.264,2448.29109603,911.556854172,2.685834772482591,5542.93104141,2063.76471785,0.702385043646,2.76238160698,1.09,0.298007108487,1.0,4,15.00002200992371,1.09,2.8,5542.93104141192,2448.29109603,911.556854172,2.264,4,2448.29109603,911.556854172,2.264,4,2448.29109603,911.556854172,2.264,4,5542.93104141192,5542.93104141192,5542.93104141192,2.685834772482591,2.685834772482591,2.685834772482591,1.0
2105.5583,124.577,329.023,102.451,2.262,2446.67956364,926.379006939,2.64112155533886,5534.38917296,2095.4693137,0.699951886728,2.76199230188,1.09,0.299039834882,1.0,4,15.022242758748249,1.09,2.8,5534.389172953681,2446.67956364,926.379006939,2.262,4,2446.67956364,926.379006939,2.262,4,2446.67956364,926.379006939,2.262,4,5534.389172953681,5534.389172953681,5534.389172953681,2.64112155533886,2.64112155533886,2.64112155533886,1.0
