DEPTH,VP,RHO,GR,IP_ORIGINAL,VSH,RHOm,RHOf,PHIE,VS,SWE,LFC,K0,RHO_FLUID,K_FLUID,IP,VPVS,VP_FRMB,VS_FRMB,RHO_FRMB,LFC_B,VP_FRMO,VS_FRMO,RHO_FRMO,LFC_O,VP_FRMG,VS_FRMG,RHO_FRMG,LFC_G,IP_FRMB,IP_FRMO,IP_FRMG,VPVS_FRMB,VPVS_FRMO,VPVS_FRMG,QC_RATIO
1996.48877,2096.29,2.1057,90.1128,4414.157853,0.273842743148,2.6938148389,1.09,0.366697466963,746.1434500999999,1.0,4,25.06412502366804,1.09,2.8,4414.157853000001,2.8094999690998432,2096.29,746.1434500999999,2.1057,4,2096.29,746.1434500999999,2.1057,4,2096.29,746.1434500999999,2.1057,4,4414.157853000001,4414.157853000001,4414.157853000001,2.8094999690998432,2.8094999690998432,2.8094999690998432,1.0
1996.64124,2109.34,2.0773,89.5155,4381.731982,0.268621187644,2.69297939002,1.09,0.384084407981,756.1879046,1.0,4,24.985349508767484,1.09,2.8,4381.731982,2.789438957127694,2109.34,756.1879046,2.0773,4,2109.34,756.1879046,2.0773,4,2109.34,756.1879046,2.0773,4,4381.731982,4381.731982,4381.731982,2.789438957127694,2.789438957127694,2.789438957127694,1.0
1996.79358,2143.46,2.0815,90.7341,4461.61199,0.279274105001,2.6946838568,1.09,0.382121284639,782.4497274,1.0,4,24.65315810544709,1.09,2.8,4461.61199,2.739422003663414,2143.46,782.4497274,2.0815,4,2143.46,782.4497274,2.0815,4,2143.46,782.4497274,2.0815,4,4461.61199,4461.61199,4461.61199,2.739422003663414,2.739422003663414,2.739422003663414,1.0
1996.94604,2135.95,2.0781,88.7426,4438.717695,0.261864549021,2.69189832784,1.09,0.383169341758,776.6693554999998,1.0,4,25.23126591054463,1.09,2.8,4438.717694999999,2.7501406935579813,2135.95,776.6693554999998,2.0781,4,2135.95,776.6693554999998,2.0781,4,2135.95,776.6693554999998,2.0781,4,4438.717694999999,4438.717694999999,4438.717694999999,2.7501406935579813,2.7501406935579813,2.7501406935579813,1.0
1997.09839,2115.2,2.0842,88.8079,4408.49984,0.262435397128,2.69198966354,1.09,0.379396744794,760.6982879999998,1.0,4,25.266676744585894,1.09,2.8,4408.4998399999995,2.780603076630035,2115.2,760.6982879999998,2.0842,4,2115.2,760.6982879999998,2.0842,4,2115.2,760.6982879999998,2.0842,4,4408.4998399999995,4408.4998399999995,4408.4998399999995,2.780603076630035,2.780603076630035,2.780603076630035,1.0
1997.25085,2140.45,2.0907,86.711,4475.038815,0.2441044416,2.68905671066,1.09,0.374193552154,780.1329605,1.0,4,25.977045544575986,1.09,2.8,4475.038815,2.7436989697604246,2140.45,780.1329605,2.0907,4,2140.45,780.1329605,2.0907,4,2140.45,780.1329605,2.0907,4,4475.038815,4475.038815,4475.038815,2.7436989697604246,2.7436989697604246,2.7436989697604246,1.0
1997.4032,2152.54,2.0868,88.6921,4491.920472,0.261423081496,2.69182769304,1.09,0.377710845972,789.4385126000002,1.0,4,25.325901235587985,1.09,2.8,4491.920472000001,2.726672141837433,2152.54,789.4385126000002,2.0868,4,2152.54,789.4385126000002,2.0868,4,2152.54,789.4385126000002,2.0868,4,4491.920472000001,4491.920472000001,4491.920472000001,2.726672141837433,2.726672141837433,2.726672141837433,1.0
1997.55554,2155.59,2.056,90.0919,4431.89304,0.273660036786,2.69378560589,1.09,0.397675102922,791.7860671000002,1.0,4,24.604276104068383,1.09,2.8,4431.893040000001,2.722439923570612,2155.59,791.7860671000002,2.056,4,2155.59,791.7860671000002,2.056,4,2155.59,791.7860671000002,2.056,4,4431.893040000001,4431.893040000001,4431.893040000001,2.722439923570612,2.722439923570612,2.722439923570612,1.0
1997.70801,2161.7,2.0456,93.7105,4421.97352,0.305293589017,2.69884697424,1.09,0.406034249808,796.4888729999998,1.0,4,23.39428264194976,1.09,2.8,4421.97352,2.714036659241567,2161.7,796.4888729999998,2.0456,4,2161.7,796.4888729999998,2.0456,4,2161.7,796.4888729999998,2.0456,4,4421.97352,4421.97352,4421.97352,2.714036659241567,2.714036659241567,2.714036659241567,1.0
1997.86035,2181.82,2.0298,91.9254,4428.658236,0.289688367637,2.69635013882,1.09,0.414946979935,811.9750358000001,1.0,4,23.77042991130167,1.09,2.8,4428.658236,2.687053054347117,2181.82,811.9750358000001,2.0298,4,2181.82,811.9750358000001,2.0298,4,2181.82,811.9750358000001,2.0298,4,4428.658236,4428.658236,4428.658236,2.687053054347117,2.687053054347117,2.687053054347117,1.0
