DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SWE,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHIE,LFC,IS_SAND,IS_SHALE,K_MINERAL,RHO_FLUID,K_FLUID,VP_FRM_BRINE,VS_FRM_BRINE,RHO_FRM_BRINE,KDRY_FRM_BRINE,LFC_BRINE,VP_FRM_OIL,VS_FRM_OIL,RHO_FRM_OIL,KDRY_FRM_OIL,LFC_OIL,VP_FRM_GAS,VS_FRM_GAS,RHO_FRM_GAS,KDRY_FRM_GAS,LFC_GAS,IP_FRM_BRINE,VPVS_FRM_BRINE,IP_FRM_OIL,VPVS_FRM_OIL,IP_FRM_GAS,VPVS_FRM_GAS,KDRY_MU_RATIO
2018.282,2331.2,871.6,2.1924,82.3323,0.4518,2.279650000000024,1.0,1.0,2.674621385956861,5314.320080000056,1986.942940000021,0.3853190400718823,2.711651046411501,1.09,0.2663958114585984,4,False,True,23.172238433532378,1.09,2.8,2331.2,871.6,2.279650000000024,,4,2331.2,871.6,2.279650000000024,,4,2331.2,871.6,2.279650000000024,,4,5314.320080000056,2.674621385956861,5314.320080000056,2.674621385956861,5314.320080000056,2.674621385956861,
2018.4344,2263.7,890.5,2.2275,77.373,0.4116,2.256247999999997,1.0,1.0,2.542055025266704,5107.468597599993,2009.1888439999973,0.3290554898172425,2.7026488783707587,1.09,0.2768121966027444,4,False,True,24.590417115862422,1.09,2.8,2263.7,890.5,2.256247999999997,,4,2263.7,890.5,2.256247999999997,,4,2263.7,890.5,2.256247999999997,,4,5107.468597599993,2.542055025266704,5107.468597599993,2.542055025266704,5107.468597599993,2.542055025266704,
2018.5868,2255.9,871.8000000000003,2.2236,72.786,0.4675,2.2436219999999985,1.0,1.0,2.5876347786189484,5061.386869799997,1955.9896595999987,0.2770157049649381,2.6943225127943897,1.09,0.2809288713460528,4,False,True,26.083282442795515,1.09,2.8,2255.9,871.8000000000003,2.2436219999999985,,4,2255.9,871.8000000000003,2.2436219999999985,,4,2255.9,871.8000000000003,2.2436219999999985,,4,5061.386869799997,2.5876347786189484,5061.386869799997,2.5876347786189484,5061.386869799997,2.5876347786189484,
2018.7393,2203.0,857.7,2.1874,77.594,0.4736,2.233607000000001,1.0,1.0,2.5684971435233765,4920.6362210000025,1915.7647239000007,0.3315627478186288,2.7030500396509805,1.09,0.291028193863443,4,False,True,24.328953964082615,1.09,2.8,2203.0,857.7,2.233607000000001,,4,2203.0,857.7,2.233607000000001,,4,2203.0,857.7,2.233607000000001,,4,4920.6362210000025,2.5684971435233765,4920.6362210000025,2.5684971435233765,4920.6362210000025,2.5684971435233765,
2018.8916,2205.6,907.5,2.1641,82.7134,0.4593,2.226588000000004,1.0,1.0,2.4304132231404956,4910.9624928000085,2020.6286100000036,0.38964264199192,2.7123428227187074,1.09,0.2994156450266658,4,False,True,22.57098537004337,1.09,2.8,2205.6,907.5,2.226588000000004,,4,2205.6,907.5,2.226588000000004,,4,2205.6,907.5,2.226588000000004,,4,4910.9624928000085,2.4304132231404956,4910.9624928000085,2.4304132231404956,4910.9624928000085,2.4304132231404956,
2019.0439,2271.2,907.5,2.1605,85.7247,0.4332,2.2192194999999995,1.0,1.0,2.5026997245179063,5040.291328399999,2013.9416962499995,0.4238060176461045,2.717808962823377,1.09,0.3062948258735421,4,False,True,21.536977015429166,1.09,2.8,2271.2,907.5,2.2192194999999995,,4,2271.2,907.5,2.2192194999999995,,4,2271.2,907.5,2.2192194999999995,,4,5040.291328399999,2.5026997245179063,5040.291328399999,2.5026997245179063,5040.291328399999,2.5026997245179063,
2019.1964,2339.6,884.9,2.1326,87.9105,0.4437,2.2199820000000003,1.0,1.0,2.643914566617697,5193.8698872,1964.4620718000008,0.4486040472362869,2.7217766475578062,1.09,0.3075142963400139,4,False,True,20.860551320753707,1.09,2.8,2339.6,884.9,2.2199820000000003,,4,2339.6,884.9,2.2199820000000003,,4,2339.6,884.9,2.2199820000000003,,4,5193.8698872,2.643914566617697,5193.8698872,2.643914566617697,5193.8698872,2.643914566617697,
2019.3488,2352.3,845.6,2.0501,87.5561,0.4878,2.2442959999999936,1.0,1.0,2.7818117313150426,5279.257480799985,1897.7766975999943,0.4445833583870049,2.7211333373419206,1.09,0.292334983551361,4,False,True,21.217665313358268,1.09,2.8,2352.3,845.6,2.2442959999999936,,4,2352.3,845.6,2.2442959999999936,,4,2352.3,845.6,2.2442959999999936,,4,5279.257480799985,2.7818117313150426,5279.257480799985,2.7818117313150426,5279.257480799985,2.7818117313150426,
2019.5012,2390.6,851.8,2.045,90.8736,0.4852,2.2545179999999987,1.0,1.0,2.8065273538389293,5389.650730799996,1920.398432399999,0.4822205910548749,2.7271552945687803,1.09,0.2886942345278686,4,False,True,20.319093133352617,1.09,2.8,2390.6,851.8,2.2545179999999987,,4,2390.6,851.8,2.2545179999999987,,4,2390.6,851.8,2.2545179999999987,,4,5389.650730799996,2.8065273538389293,5389.650730799996,2.8065273538389293,5389.650730799996,2.8065273538389293,
2019.6536,2375.3,902.1,2.0692,94.9456,0.4747,2.2584120000000083,1.0,1.0,2.6330783726859552,5364.4060236000205,2037.313465200008,0.5284176706098309,2.7345468272975726,1.09,0.2895234233493859,4,False,True,19.16687931388357,1.09,2.8,2375.3,902.1,2.2584120000000083,,4,2375.3,902.1,2.2584120000000083,,4,2375.3,902.1,2.2584120000000083,,4,5364.4060236000205,2.6330783726859552,5364.4060236000205,2.6330783726859552,5364.4060236000205,2.6330783726859552,
2019.806,2412.1,903.2,2.1407,95.5885,0.4871,2.2648199999999976,1.0,1.0,2.670615589016829,5462.972321999994,2045.5854239999976,0.5357114089315109,2.735713825429042,1.09,0.2861334808962191,4,False,True,19.052039478799436,1.09,2.8,2412.1,903.2,2.2648199999999976,,4,2412.1,903.2,2.2648199999999976,,4,2412.1,903.2,2.2648199999999976,,4,5462.972321999994,2.670615589016829,5462.972321999994,2.670615589016829,5462.972321999994,2.670615589016829,
2019.9584,2459.3,897.4,2.1659,97.246,0.4906,2.264335999999998,1.0,1.0,2.7404724760418993,5568.681524799996,2032.0151263999976,0.5545158439419087,2.738722535030705,1.09,0.2877297574038876,4,False,True,18.573774900397467,1.09,2.8,2459.3,897.4,2.264335999999998,,4,2459.3,897.4,2.264335999999998,,4,2459.3,897.4,2.264335999999998,,4,5568.681524799996,2.7404724760418993,5568.681524799996,2.7404724760418993,5568.681524799996,2.7404724760418993,
2020.1108,2434.9,917.1,2.1502,94.7566,0.5048,2.2711880000000004,1.0,1.0,2.654999454803184,5530.115661200001,2082.9065148000004,0.5262734544909983,2.7342037527185594,1.09,0.2816048509517141,4,False,True,19.359847480993544,1.09,2.8,2434.9,917.1,2.2711880000000004,,4,2434.9,917.1,2.2711880000000004,,4,2434.9,917.1,2.2711880000000004,,4,5530.115661200001,2.654999454803184,5530.115661200001,2.654999454803184,5530.115661200001,2.654999454803184,
